央视,#genre#
CCTV-1 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-1H265_4000$Source=小果
CCTV-2 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-2H265_4000$Source=小果
CCTV-3 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-3H265_4000$Source=小果
CCTV-4 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-4H265_4000$Source=小果
CCTV-5 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-5H265_4000$Source=小果
CCTV-5+高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-5plusH265_4000$Source=小果
CCTV-6 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-6H265_4000$Source=小果
CCTV-7 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-7H265_4000$Source=小果
CCTV-8 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-8H265_4000$Source=小果
CCTV-9 高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-9H265_4000$Source=小果
CCTV-10高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-10H265_4000$Source=小果
CCTV-11高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-11-H265_4000$Source=小果
CCTV-12高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-12H265_4000$Source=小果
CCTV-13高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-xw_4000$Source=小果
CCTV-14高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-14H265_4000$Source=小果
CCTV-15高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-15-yyH265_4000$Source=小果
CCTV-16高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-16_4000$Source=小果
CCTV-17高清,http://zb.ldlive.xyz/zbtv/sxg.php?id=CCTV-17_4000$Source=小果
CCTV-1 高清,http://45.154.14.47:5678/geehyx.php?id=CCTV1HD_6000$Source=歌华
CCTV-2 高清,http://45.154.14.47:5678/geehyx.php?id=CCTV2HD_6000$Source=歌华
CCTV-3 高清,http://45.154.14.47:5678/geehyx.php?id=CCTV3HD_6000$Source=歌华
CCTV-4 高清,http://45.154.14.47:5678/geehyx.php?id=CCTV4HD_6000$Source=歌华
CCTV-5 高清,http://45.154.14.47:5678/geehyx.php?id=CCTV5HD_6000$Source=歌华
CCTV-5+高清,http://45.154.14.47:5678/geehyx.php?id=CCTV5plusHD_6000$Source=歌华
CCTV-6 高清,http://45.154.14.47:5678/geehyx.php?id=CCTV6HD_6000$Source=歌华
CCTV-7 高清,http://45.154.14.47:5678/geehyx.php?id=CCTV7HD_6000$Source=歌华
CCTV-8 高清,http://45.154.14.47:5678/geehyx.php?id=CCTV8HD_6000$Source=歌华
CCTV-9 高清,http://45.154.14.47:5678/geehyx.php?id=CCTV9HD_6000$Source=歌华
CCTV-10高清,http://45.154.14.47:5678/geehyx.php?id=CCTV10HD_6000$Source=歌华
CCTV-11高清,http://45.154.14.47:5678/geehyx.php?id=CCTV11HD2_6000$Source=歌华
CCTV-12高清,http://45.154.14.47:5678/geehyx.php?id=CCTV12HD_6000$Source=歌华
CCTV-13高清,http://45.154.14.47:5678/geehyx.php?id=CCTV13HD2_6000$Source=歌华
CCTV-14高清,http://45.154.14.47:5678/geehyx.php?id=CCTV14HD_6000$Source=歌华
CCTV-15高清,http://45.154.14.47:5678/geehyx.php?id=CCTV15HD_6000$Source=歌华
CCTV-16高清,http://45.154.14.47:5678/geehyx.php?id=CCTV16HD_6000$Source=歌华
